Grammy,Year,Category,Main Artist,Artist,Cleaned Song or Album,Song or Album,Win,Cleaned Main Artist,Wiki URL,ArtistID,Song ID,Song Language,Cleaned Lyrics,Sentiment Label,Sentiment Score Confidence,Vulgarity Score,Genre,Combined Sentiment,Topic_1,Topic_2,Topic_3,Dominant Topic,Is Rap,Jitter
67,2024,Record Of The Year,Kendrick Lamar,Kendrick Lamar,Not Like Us,Not Like Us,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S133800,en,psst see dead people ayy mustard beat deebo rap nigga free throw man call amberlamps tell breathe bro nail nigga cross walk around teezo jabroni ass niggas see compton industry hate fuck em mama many opps really mean many options finna pass body john stockton beat ass hide bible god watchin sometimes pop show niggas certified boogeyman score em walk whole time pole extort shit bully death row drake hear em young better ever cell block bitch talk love sure hide sister tell chubbs hand downs party party playin nose baka weird case around certified lover boy certified pedophiles wop wop wop wop wop dot fuck em wop wop wop wop wop stuff trollin bitch not tired strike chord probably minor think bay disrespect pac nigga think oakland show last stop nigga cole foui not still pretendin owl bird niggas bird bitches audience dumb shape stories drake slow rabbit hole still deep promise not somethin rad stands bitch malibu wanted not law boy ball boy fetch gatorade somethin since bitch jumpin niggasll wedgie flipped boxers ovo vaginal option pussy nigga better straighten posture famous compton might write doctorate tell pop star quit hidin fuck caption action accident hands fuck around polished fucked wayne girl jail connivin face tatted bitch apologizin glad deroz came home not deserve neither alondra central nigga better speak serena homeboy need subpoena predator move flocks name registered placed neighborhood watch lean niggas another line wock eyes send pac ayy put wrong label em dropped ayy sweet chin music wo not pass aux ayy many stocks really stock ayy two three four five plus five ayy devil lie god ayy freaky ass niggas need stay ass inside ayy roll ass fresh pack za ayy city back must outside ayy upon time chains homie still doubled callin slaves atlanta mecca buildin railroads trains bear second put game settlers usin townfolk em richer fast forward agenda run atlanta need check balance break real nigga challenge called future not see club baby helped lingo gave false street cred thug made feel slime head quavo northside chainz good lied run atlanta need dollars colleague fuckin colonizer family matter truth matter god plan show liar fan fan fan fan fan freaky ass nigga god freaky ass nigga god run life run life freaky ass nigga god freaky ass nigga god run life run life hear ov ov step way step way step way step way friend locked step way step way step way step way,Very Negative,0.4146499931812286,14.527845036319611,Rap/Hip Hop,Negative,0.6463520622135093,0.001303833282383484,0.3523441045041073,TOPIC 1,Rap,1.0633940285109296
67,2024,Record Of The Year,Taylor Swift,Taylor Swift Featuring Post Malone,Fortnight,Fortnight,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S133600,en,supposed sent away forgot functioning alcoholic til nobody noticed new aesthetic hope okay reason blame quiet treason fortnight forever run sometimes ask weather backyard turned good neighbors wife waters flowers kill mornings mondays stuck endless february took miracle move drug effects temporary love ruining life love ruining life touched fortnight touched touched fortnight forever run sometimes ask weather backyard turned good neighbors wife waters flowers kill fortnight together run sometimes comment sweater mailbox turned good neighbors husband cheating kill love ruining life love ruining life touched fortnight touched touched love ruining life love ruining life touched fortnight touched touched thought callin wo not pick another fortnight lost america move florida buy car wo not start till touch touch touch thought calling wo not pick another fortnight lost america move florida buy car wo not start till touch touch touch,Neutral,0.3670288026332855,2.8776978417266186,Pop,Neutral,0.0037915193273804085,0.9924938668970744,0.0037146137755450876,TOPIC 2,Non Rap,0.9210762458356531
67,2024,Record Of The Year,Chappell Roan,Chappell Roan,Good Luck Babe!,"Good Luck, Babe!",0,Chappell Roan,https://en.wikipedia.org/wiki/Chappell_Roan,A2223,S133476,en, fine cool nothing truth guess fool arms angel car sunroof not call not call love call baby kiss hundred boys bars shoot another shot try stop feeling way new excuse another stupid reason good luck babe well good luck babe stop world stop feeling good luck babe well good luck babe stop world stop feeling cares sexually explicit kind love affair cried fair need little lovin need little head think call even call love love someone calls baby kiss hundred boys bars shoot another shot try stop feeling way new excuse another stupid reason good luck babe well good luck babe stop world stop feeling good luck babe well good luck babe stop world stop feeling wake next middle night head hands nothing wife think years ago standing face face told hate told hate told kiss hundred boys bars shoot another shot try stop feeling way new excuse another stupid reason good luck babe well good luck babe stop world stop feeling good luck babe well good luck babe stop world stop feeling stop world stop feeling stop world stop feeling stop world stop feeling,Neutral,0.3862053751945495,10.27027027027027,Pop,Neutral,0.9957616413789848,0.002159396045083066,0.0020789625759322365,TOPIC 1,Non Rap,1.0646128019375711
67,2024,Record Of The Year,Billie Eilish,Billie Eilish,Birds Of A Feather,BIRDS OF A FEATHER,0,Billie Eilish,https://en.wikipedia.org/wiki/Billie_Eilish,A1833,S134012,en,stay til grave til ride away dead buried til casket carried going cause always turning blue please not save nothing left lose without baby birds feather stick together never think not better alone not change weather might forever forever even better not crying not think love might long baby ll love til day die til day die til light leaves eyes til day die see mean not believe told become laments wrote full shit tell bit not see mind brooding quit not stupid not crying not think love might long baby not goodbye til day die til light leaves eyes til day die forever even better nothing look eyes love not act surprised,Very Negative,0.3624822795391083,7.964601769911504,Alternative,Negative,0.43700543561817506,0.5589449690201714,0.004049595361653576,TOPIC 2,Non Rap,0.8354648321572348
67,2024,Record Of The Year,Charli Xcx,Charli xcx,360,360,0,Charli Xcx,https://en.wikipedia.org/wiki/Charli_XCX,A1524,S134372,en,went way made favorite reference baby call gabbriette inspired tectonic moves em shock defibrillators style not relate ll always drop put camera flash stylish baby tears gone drop lookin icon work angles mirror see mirror lookin everywhere julia party bumpin beat princess streak everywhere julia bumpin bumpin bumpin city sewer slut vibe internationally recognized set tone design stuck mind legacy undebated jump made love hate not fucking care think drop put camera flash stylish baby tears gone drop lookin icon work angles mirror see mirror lookin everywhere julia party bumpin beat princess streak everywhere julia bumpin bumpin bumpin bumpin bumpin bumpin ,Neutral,0.306896448135376,1.98019801980198,Electro,Neutral,0.12818661941319873,0.09076145998920832,0.781051920597593,TOPIC 3,Non Rap,0.8542196149414782
67,2024,Record Of The Year,Sabrina Carpenter,Sabrina Carpenter,Espresso,Espresso,0,Sabrina Carpenter,https://en.wikipedia.org/wiki/Sabrina_Carpenter,A2001,S133506,en, thinkin bout every night sweet guess not sleep baby espresso move left right switch nintendo not sleep baby espresso not relate desperation give fucks vacation boy wo not stop calling act way bad ex not walked dream came trued soft skin perfumed mountain dew morning coffee brewed touch brand newed thinkin bout every night sweet guess not sleep baby espresso move left right switch nintendo not sleep baby espresso holy shit sweet guess working late cause singer looks cute wrapped around finger twisted humor laugh often honey bee pollen bad ex not walked dream came trued soft skin perfumed mountain dew morning coffee brewed touch brand newed thinkin bout every night sweet guess not sleep baby espresso move left right switch nintendo not sleep baby espresso thinkin bout every night sweet guess not sleep baby espresso move left right switch nintendo not sleep baby espresso sweet guess espresso,Very Positive,0.378582090139389,1.351351351351351,Pop,Positive,0.3262021935945353,0.31038858132294816,0.3634092250825165,TOPIC 3,Non Rap,1.2752144194332566
67,2024,Record Of The Year,Beyoncé,Beyoncé,Texas Hold 'Em,TEXAS HOLD 'EM,0,Beyonce,https://en.wikipedia.org/wiki/Beyonc%C3%A9,A669,S132601,en,nt texas not hold em lay cards park lexus throw keys stick around round round round round ll damned not slow dance pour sugar honey real life boogie real life hoedown not bitch take floor tornado city basement shit not pretty rugged whiskey cause survivin red cup kisses sweet redemption passin time step right headin dive bar always thought nice run left spin middle boy not read mind not texas not hold em lay cards park lexus throw keys stick around round round round round ll damned not slow dance pour sugar honey real life boogie real life hoedown not bitch take floor ll damned dance pour liquor honey real life boogie real life hoedown not bitch take floor woo hoo woo hoo woo hoo heatwave coming hot think straight cold panic problems feel dramatic runnin first spot find step right headin dive bar always thought nice run left middle boy not read mind not texas not hold em lay cards park lexus throw keys stick around round round round round ll damned slow dance pour sugar honey real life boogie real life hoedown not bitch take floor ll damned dance pour liquor honey real life boogie real life hoedown not take floor take floor hoops spurs boots floor tuck back oops shoot take floor ll damned dance baby pour sugar liquor furs spurs boots solargenic photogenic shoot,Negative,0.4697020053863525,5.701754385964913,Country,Negative,0.0023836180225995296,0.9745611553192494,0.023055226658151098,TOPIC 2,Non Rap,0.8070554345466912
67,2024,Song Of The Year,Kendrick Lamar,Kendrick Lamar,Not Like Us,Not Like Us,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S133800,en,psst see dead people ayy mustard beat deebo rap nigga free throw man call amberlamps tell breathe bro nail nigga cross walk around teezo jabroni ass niggas see compton industry hate fuck em mama many opps really mean many options finna pass body john stockton beat ass hide bible god watchin sometimes pop show niggas certified boogeyman score em walk whole time pole extort shit bully death row drake hear em young better ever cell block bitch talk love sure hide sister tell chubbs hand downs party party playin nose baka weird case around certified lover boy certified pedophiles wop wop wop wop wop dot fuck em wop wop wop wop wop stuff trollin bitch not tired strike chord probably minor think bay disrespect pac nigga think oakland show last stop nigga cole foui not still pretendin owl bird niggas bird bitches audience dumb shape stories drake slow rabbit hole still deep promise not somethin rad stands bitch malibu wanted not law boy ball boy fetch gatorade somethin since bitch jumpin niggasll wedgie flipped boxers ovo vaginal option pussy nigga better straighten posture famous compton might write doctorate tell pop star quit hidin fuck caption action accident hands fuck around polished fucked wayne girl jail connivin face tatted bitch apologizin glad deroz came home not deserve neither alondra central nigga better speak serena homeboy need subpoena predator move flocks name registered placed neighborhood watch lean niggas another line wock eyes send pac ayy put wrong label em dropped ayy sweet chin music wo not pass aux ayy many stocks really stock ayy two three four five plus five ayy devil lie god ayy freaky ass niggas need stay ass inside ayy roll ass fresh pack za ayy city back must outside ayy upon time chains homie still doubled callin slaves atlanta mecca buildin railroads trains bear second put game settlers usin townfolk em richer fast forward agenda run atlanta need check balance break real nigga challenge called future not see club baby helped lingo gave false street cred thug made feel slime head quavo northside chainz good lied run atlanta need dollars colleague fuckin colonizer family matter truth matter god plan show liar fan fan fan fan fan freaky ass nigga god freaky ass nigga god run life run life freaky ass nigga god freaky ass nigga god run life run life hear ov ov step way step way step way step way friend locked step way step way step way step way,Very Negative,0.4146499931812286,14.527845036319611,Rap/Hip Hop,Negative,0.6463520622135093,0.001303833282383484,0.3523441045041073,TOPIC 1,Rap,0.7226152947346847
67,2024,Song Of The Year,Beyoncé,Beyoncé,Texas Hold 'Em,TEXAS HOLD 'EM,0,Beyonce,https://en.wikipedia.org/wiki/Beyonc%C3%A9,A669,S132601,en,nt texas not hold em lay cards park lexus throw keys stick around round round round round ll damned not slow dance pour sugar honey real life boogie real life hoedown not bitch take floor tornado city basement shit not pretty rugged whiskey cause survivin red cup kisses sweet redemption passin time step right headin dive bar always thought nice run left spin middle boy not read mind not texas not hold em lay cards park lexus throw keys stick around round round round round ll damned not slow dance pour sugar honey real life boogie real life hoedown not bitch take floor ll damned dance pour liquor honey real life boogie real life hoedown not bitch take floor woo hoo woo hoo woo hoo heatwave coming hot think straight cold panic problems feel dramatic runnin first spot find step right headin dive bar always thought nice run left middle boy not read mind not texas not hold em lay cards park lexus throw keys stick around round round round round ll damned slow dance pour sugar honey real life boogie real life hoedown not bitch take floor ll damned dance pour liquor honey real life boogie real life hoedown not take floor take floor hoops spurs boots floor tuck back oops shoot take floor ll damned dance baby pour sugar liquor furs spurs boots solargenic photogenic shoot,Negative,0.4697020053863525,5.701754385964913,Country,Negative,0.0023836180225995296,0.9745611553192494,0.023055226658151098,TOPIC 2,Non Rap,0.8398129820099078
67,2024,Song Of The Year,Sabrina Carpenter,Sabrina Carpenter,Please Please Please,Please Please Please,0,Sabrina Carpenter,https://en.wikipedia.org/wiki/Sabrina_Carpenter,A2001,S134301,en,good judgment good taste funny ironic feel way promise em different everyone makes mistakes not heard actor act stand guy whatever devil inside not tonight tell culture everyone rolls eyes asking baby please please please not prove right please pleas please not bring tars makeup nice heartbreak thing ego another beg not embarrass motherfucker please please please well fun idea babe maybe stay inside cravin fresh air ceiling fan nice live happily knows kidding really really really please please please not prove right please please please not bring tears makeup nice heartbreak thing ego another beg not embarrass motherfucker please please please stupid not front not cry music not hate prolifically please please please please please please please please please,Positive,0.3831683099269867,4.166666666666667,Pop,Positive,0.24178477280756655,0.6465915083992894,0.11162371879314421,TOPIC 2,Non Rap,1.0730975514553003
